scenario,scenario_type,method,n_used,true_beta_b,mean_beta,bias_beta,mse_beta,n_unconditional,bias_beta_unconditional,mse_beta_unconditional
n_75,standard,OR-GEE-ZY,951,1.6,1.5630886297924733,-0.036911370207526675,0.5988435579507578,965,-0.013666829616490432,0.630417202509681
n_75,standard,OR-PGEE-ZY,951,1.6,1.538670999803304,-0.061329000196696154,0.4694684195686456,980,-0.02413692883174015,0.7250854235983502
n_75,standard,RR-GEE,951,1.6,1.5542757112824162,-0.04572428871758394,0.5943030150728845,971,-0.01628858102611438,0.6289844473035622
n_75,standard,RR-PGEE,951,1.6,1.5431516520081414,-0.056848347991858526,0.4595454901991633,1000,0.012180794179198347,0.7557177870267308
prop_0.3,standard,OR-GEE-ZY,909,1.6,1.6190108501245504,0.019010850124550234,0.667459156196426,911,0.020574321075165887,0.6692343118653167
prop_0.3,standard,OR-PGEE-ZY,909,1.6,1.5218123335146048,-0.07818766648539566,0.5141141746180385,995,0.11285735394931724,1.1328661184564797
prop_0.3,standard,RR-GEE,909,1.6,1.6052005880266007,0.005200588026600757,0.6585935924805623,915,0.007754711423407015,0.6620841400039158
prop_0.3,standard,RR-PGEE,909,1.6,1.5153351542469797,-0.0846648457530205,0.5009582235204608,999,0.10380838768361567,1.0776487086808009
prop_0.4,standard,OR-GEE-ZY,887,1.6,1.5912162143948807,-0.00878378560511952,0.585840813464164,887,-0.00878378560511952,0.585840813464164
prop_0.4,standard,OR-PGEE-ZY,887,1.6,1.4480695803872063,-0.15193041961279383,0.4683763477067398,1000,0.12031308381517047,1.0350625933842041
prop_0.4,standard,RR-GEE,887,1.6,1.579906524920315,-0.02009347507968488,0.5791965410836284,888,-0.020528648839941335,0.5787304017706802
prop_0.4,standard,RR-PGEE,887,1.6,1.4379815776417884,-0.1620184223582116,0.46016656868110845,1000,0.09548967231703996,0.9554271635564969
prop_0.5,standard,OR-GEE-ZY,833,1.6,1.5448051879106597,-0.05519481208934044,0.5146960484989054,833,-0.05519481208934044,0.5146960484989054
prop_0.5,standard,OR-PGEE-ZY,833,1.6,1.3592889915717108,-0.24071100842828932,0.44441771212265563,1000,0.11330827875707045,0.9980184764508392
prop_0.5,standard,RR-GEE,833,1.6,1.5343731219634649,-0.06562687803653541,0.5102005427809236,834,-0.06536226878430104,0.5096176197645886
prop_0.5,standard,RR-PGEE,833,1.6,1.3460016043432521,-0.25399839565674803,0.4415638347344869,1000,0.08016699388516163,0.9148220079582002
prop_0.6,standard,OR-GEE-ZY,756,1.6,1.4247680262251097,-0.17523197377489047,0.45939426806458555,757,-0.17651527543936182,0.460524395867625
prop_0.6,standard,OR-PGEE-ZY,756,1.6,1.2104796046711566,-0.38952039532884336,0.46830777526915607,1000,0.08155510624152618,1.0111753919229778
prop_0.6,standard,RR-GEE,756,1.6,1.4155339371866158,-0.18446606281338404,0.45881262096044245,758,-0.18458923024639523,0.45777084298826
prop_0.6,standard,RR-PGEE,756,1.6,1.19430465883367,-0.40569534116633005,0.47477469892973356,1000,0.040249923310277214,0.9266890894484265
prop_0.7,standard,OR-GEE-ZY,668,1.6,1.2775605891697783,-0.3224394108302219,0.4949907939204605,668,-0.3224394108302219,0.4949907939204605
prop_0.7,standard,OR-PGEE-ZY,668,1.6,1.019043081849031,-0.5809569181509691,0.623127031678863,1000,-0.03486296513270993,0.8682892916584821
prop_0.7,standard,RR-GEE,668,1.6,1.2687360375414893,-0.33126396245851064,0.49648528357561195,668,-0.33126396245851064,0.49648528357561195
prop_0.7,standard,RR-PGEE,668,1.6,1.0003839383141209,-0.5996160616858792,0.6413577139483181,1000,-0.07820315316434803,0.8169568933519699
prop_0.8,standard,OR-GEE-ZY,525,1.6,0.993357781349517,-0.606642218650483,0.7486962936670777,525,-0.606642218650483,0.7486962936670777
prop_0.8,standard,OR-PGEE-ZY,525,1.6,0.7002341847356575,-0.8997658152643426,1.0907824045177106,1000,-0.2556082164646323,0.79002188312088
prop_0.8,standard,RR-GEE,525,1.6,0.987570747090674,-0.6124292529093261,0.7504274355622105,525,-0.6124292529093261,0.7504274355622105
prop_0.8,standard,RR-PGEE,525,1.6,0.6767577416251916,-0.9232422583748086,1.1324994748623773,1000,-0.3056157617757146,0.780830493014003
