scenario,scenario_type,method,n_used,mean_log_variance,empirical_log_variance,mean_ci_width_rr,variance_ratio,coverage,coverage_n
alpha_0.8,standard,OR-PGEE-ZY,621,0.8110153735947095,0.6381936258367639,21.37127292976421,1.2707982981361674,0.9516908212560387,621
alpha_0.8,standard,RR-GEE,621,1.0949423352392968,0.8027393298562195,52.29013007459115,1.3640073365228218,0.9774557165861514,621
alpha_0.8,standard,RR-PGEE,621,0.6184019108316471,0.5411283926890338,25.96567173655109,1.1428007090121761,0.9549114331723028,621
base,standard,OR-GEE-ZY,831,0.9447814247085288,0.756451857009966,25.811080613190242,1.2489643801562929,0.9711191335740073,831
base,standard,OR-PGEE-ZY,831,0.6242410315982955,0.5517889057015242,18.636482593334005,1.1313040641958148,0.9482551143200962,831
base,standard,RR-GEE,831,0.8151012983095403,0.6613772104518085,38.77837539085148,1.2324302764419683,0.9855595667870036,831
base,standard,RR-PGEE,831,0.5015337331769874,0.48058976810869103,22.24464446583983,1.0435797148797383,0.9554753309265944,831
beta0_-2,standard,OR-GEE-ZY,940,0.33256700005062284,0.3493144700737737,2.7346862897035504,0.952056180153047,0.6585106382978724,940
beta0_-2,standard,OR-PGEE-ZY,940,0.3035616042085412,0.302988630217038,2.7604750176691373,1.0018910742330258,0.6627659574468086,940
beta0_-2,standard,RR-GEE,940,0.07489254673488506,0.07841398488488854,5.906067955603802,0.9550917077460999,0.9468085106382979,940
beta0_-2,standard,RR-PGEE,940,0.06976500364395735,0.07451749522559324,5.637996512329189,0.9362231437429792,0.9414893617021277,940
beta0_-3,standard,OR-GEE-ZY,918,0.43262487739116706,0.3958879101505153,9.904998196714452,1.0927963857918381,0.9150326797385621,918
beta0_-3,standard,OR-PGEE-ZY,918,0.3749196810182492,0.3347588307829514,8.980767771699755,1.119969502048288,0.9030501089324618,918
beta0_-3,standard,RR-GEE,918,0.2973460456380707,0.2855944828961284,15.003632954355169,1.0411477232430166,0.9596949891067538,918
beta0_-3,standard,RR-PGEE,918,0.23775667997296507,0.24191481020221658,12.045468505126921,0.982811592949701,0.9433551198257081,918
beta_b_1.2,standard,OR-GEE-ZY,767,1.0380225839860724,0.7323398310930334,23.320346822204705,1.4174056085913023,0.9908735332464146,767
beta_b_1.2,standard,OR-PGEE-ZY,767,0.6603994770696143,0.5270405067496591,16.381549816295898,1.2530336257119985,0.9791395045632334,767
beta_b_1.2,standard,RR-GEE,767,0.9109709296891679,0.653169538699302,33.042796037271344,1.394692917712057,0.9947848761408083,767
beta_b_1.2,standard,RR-PGEE,767,0.5415539800153488,0.47016505492561,18.803140061025115,1.151838007401537,0.9791395045632334,767
beta_b_1.4,standard,OR-GEE-ZY,796,0.9859055132902258,0.7245309474578567,24.50580937591851,1.360750036626382,0.9886934673366834,796
beta_b_1.4,standard,OR-PGEE-ZY,796,0.6412971389482516,0.5241103007339223,17.499696942595445,1.2235919386629688,0.964824120603015,796
beta_b_1.4,standard,RR-GEE,796,0.858605688507485,0.6413965721451969,35.78844012289117,1.3386502606894461,0.9937185929648241,796
beta_b_1.4,standard,RR-PGEE,796,0.5205951644174492,0.46234270243469955,20.486201138223333,1.1259941201104546,0.9635678391959799,796
beta_b_1.8,standard,OR-GEE-ZY,829,0.8852419621664916,0.6983084541860507,27.586229686587703,1.2676947513091916,0.9674306393244874,829
beta_b_1.8,standard,OR-PGEE-ZY,829,0.6008838153478759,0.5207620034061468,20.250873074753606,1.153854949895877,0.9505428226779252,829
beta_b_1.8,standard,RR-GEE,829,0.7557522397464087,0.602730790092776,43.48616842978272,1.2538802599251297,0.97708082026538,829
beta_b_1.8,standard,RR-PGEE,829,0.4774248704804745,0.4473775690757154,24.911249923757616,1.0671631826933947,0.9577804583835947,829
beta_b_2,standard,OR-GEE-ZY,805,0.836588835301183,0.6564901767606858,29.106498257876286,1.2743356487512982,0.9552795031055901,805
beta_b_2,standard,OR-PGEE-ZY,805,0.579429446552322,0.49803751542685887,21.701818436799048,1.1634253015171028,0.9341614906832298,805
beta_b_2,standard,RR-GEE,805,0.7057089276818856,0.5572938992922528,48.457564589328626,1.266313750389365,0.9739130434782609,805
beta_b_2,standard,RR-PGEE,805,0.4547315849513254,0.4190795531826687,27.656631728606346,1.0850722291218933,0.9540372670807453,805
confounded_shift_0_50,confounded,OR-GEE-ZY,828,1.6862245572500871,1.6547666304137516,32.20872541192252,1.0190104914240807,0.9190821256038647,828
confounded_shift_0_50,confounded,OR-PGEE-ZY,828,1.1394480128488098,1.26679163801007,25.478386553805997,0.8994754769921777,0.894927536231884,828
confounded_shift_0_50,confounded,RR-GEE,828,1.4521280577688978,1.4552365489647736,116.07317811742587,0.9978639272095748,0.9202898550724637,828
confounded_shift_0_50,confounded,RR-PGEE,828,0.9197868598148442,1.1232565753331791,48.2376025328288,0.8188573118675206,0.892512077294686,828
n_100,standard,OR-GEE-ZY,987,0.4860145530686678,0.5525578391381263,18.101018829798427,0.8795722703468437,0.9452887537993921,987
n_100,standard,OR-PGEE-ZY,987,0.37572120582749535,0.44860977069417285,14.500621404808435,0.8375234566249177,0.9199594731509625,987
n_100,standard,RR-GEE,987,0.4284100731528404,0.49594088718641044,23.59993382869579,0.8638329369923737,0.9584599797365755,987
n_100,standard,RR-PGEE,987,0.3177514261994336,0.40161070079073746,16.72671134263859,0.7911926290156311,0.9300911854103343,987
n_25,standard,OR-GEE-ZY,453,1.4054417296108144,0.7612521446997047,25.102754750926962,1.846223671613072,0.9690949227373068,453
n_25,standard,OR-PGEE-ZY,453,0.8749148339233884,0.5344219407808497,18.032429543929908,1.6371237165993613,0.9580573951434879,453
n_25,standard,RR-GEE,453,1.1399897930741258,0.6336262489889029,43.89813606502828,1.7991517789757654,0.9801324503311258,453
n_25,standard,RR-PGEE,453,0.6419370124181994,0.44539859730874,22.463860352568084,1.4412641088162736,0.9558498896247241,453
n_75,standard,OR-GEE-ZY,951,0.6588385884340866,0.6656281425686149,21.959352354042288,0.9897997790352916,0.9568874868559412,951
n_75,standard,OR-PGEE-ZY,951,0.4732907394139388,0.51353050300916,16.554499761110876,0.9216409475981927,0.9327024185068349,951
n_75,standard,RR-GEE,951,0.5785950161917556,0.5928356858673073,31.221310521072144,0.9759787239280006,0.9674027339642481,951
n_75,standard,RR-PGEE,951,0.39421075202055994,0.45679408579873865,19.517457164743117,0.862994430699016,0.9390115667718192,951
prop_0.3,standard,OR-GEE-ZY,909,0.8822061521654867,0.7432024995456098,27.21081652500768,1.1870333491946852,0.9625962596259626,909
prop_0.3,standard,OR-PGEE-ZY,909,0.5746225918032072,0.5571251959482099,18.326958937110682,1.0314065778791737,0.9427942794279428,909
prop_0.3,standard,RR-GEE,909,0.7766583947558688,0.659291839918005,42.307770471476985,1.178019122536782,0.9757975797579758,909
prop_0.3,standard,RR-PGEE,909,0.4797021178649811,0.4943339090962521,21.76640639203555,0.9704009962455924,0.9493949394939494,909
prop_0.4,standard,OR-GEE-ZY,887,0.8516189836437144,0.6478770217522898,25.60347320456919,1.3144762895593534,0.9594137542277339,887
