scenario,scenario_type,replication,method,true_beta_b,true_rr,log_effect,se_log_effect,rr_estimate,p0_hat,converged,finite,iterations,alpha,phi,bec_count,failure_reason,ci_lower,ci_upper,covered,coverage_eligible
alpha_0.2,standard,99,OR-PGEE-ZY,1.6,4.953032424395115,-1.0481986763564195,0.7803681585076006,0.35317506552115296,0.011363636363636364,True,True,14.0,0.0003031835911389277,0.21357777347378248,1.914119316964499,,0.0767550525816969,1.6068805090600682,False,True
alpha_0.2,standard,100,RR-GEE,1.6,4.953032424395115,1.8464957743046861,0.5725108768054328,6.337572282054752,,True,True,6.0,-0.02151820685321997,1.0547903452344194,1.623484719343598,,2.0634824702253196,19.46458136176118,True,True
alpha_0.2,standard,100,RR-PGEE,1.6,4.953032424395115,1.8002310996890345,0.51370450478911,6.051045697620147,,True,True,6.0,-0.020615267376458562,1.18253900685381,1.4616113089454768,,2.210875899458362,16.561379154595503,True,True
alpha_0.2,standard,100,OR-GEE-ZY,1.6,4.953032424395115,2.003113850520282,0.6308238837197503,6.341961129115472,0.02631578947368421,True,True,5.0,-0.020865088699980758,0.9935350609355867,1.0567053396139559,,2.0893198722563078,15.511595595042431,True,True
alpha_0.2,standard,100,OR-PGEE-ZY,1.6,4.953032424395115,1.9346296791467514,0.5761651151169601,5.988328562582617,0.02631578947368421,True,True,6.0,-0.01789778926464818,0.8950545059862329,0.9598369607847809,,2.166947741457256,13.92908329193461,True,True
alpha_0.3,standard,1,RR-GEE,1.6,4.953032424395115,1.402190796557325,1.3693063450108554,4.0640938237295865,,True,True,6.0,-0.011018951659202884,1.9206222951529552,2.1434102347079187,,0.2775927066786299,59.50033344067144,True,True
alpha_0.3,standard,1,RR-PGEE,1.6,4.953032424395115,1.3945006866633713,1.0535083422062068,4.032960358918863,,True,True,7.0,-0.007918808661014494,2.4302405949445722,1.5174581518200918,,0.5115357919901351,31.79595545667042,True,True
alpha_0.3,standard,1,OR-GEE-ZY,1.6,4.953032424395115,1.4318231578845804,1.417823317816855,4.104583719619406,0.00625,True,True,6.0,-0.005818058139462424,0.5172389680037727,1.032934419124904,,0.2612117817907493,47.634542058708746,True,True
alpha_0.3,standard,1,OR-PGEE-ZY,1.6,4.953032424395115,1.4134067502680765,1.1055075077730074,4.031571119126658,0.00625,True,True,9.0,-0.003384479778617937,0.41490172574522566,0.7368345754402932,,0.47234997757021374,29.457686157954285,True,True
alpha_0.3,standard,2,RR-GEE,1.6,4.953032424395115,3.123987758166973,1.0698784649044908,22.736868231940214,,True,True,7.0,-0.0033075686519100974,0.8531595974702874,4.177170950789783,,2.7928553602973953,185.102739062564,True,True
